naic_product,sic_industry,sic_product,sic_title
332612213,NA,3495213,Precision mechanical compression-type wire springs
332612216,NA,3495216,Precision mechanical extension and torsion-type wire springs
3326123,NA,34953,Other wire springs
332612SM,NA,3495SM,Secondary products and miscellaneous receipts
332612M,NA,3495M,Miscellaneous receipts
NA,NA,3495MM,Miscellaneous receipts
332612S,NA,3495S,Secondary products
NA,NA,3495SS,Secondary products
332618,3496,3496,Miscellaneous fabricated wire products
332618P,NA,3496P,Primary products
NA,NA,34961,"Noninsulated ferrous wire rope, cable and strand"
3326183,NA,34964,Ferrous wire cloth and other ferrous woven wire products
3326185,NA,34965,Nonferrous wire cloth and other nonferrous woven wire products
NA,NA,34966,Steel fencing and fence gates
332618B,NA,34968,Other ferrous fabricated wire products
NA,NA,3496885,Wire racks
NA,NA,3496898,Other ferrous wire products
332618SM,NA,3496SM,Secondary products and miscellaneous receipts
332618M,NA,3496M,Miscellaneous receipts
NA,NA,3496XY9,Contract work and other miscellaneous receipts
NA,NA,3496Z89,Resales
332618S,NA,3496S,Secondary products
NA,NA,3496SS,Secondary products
NA,3497,3497,Metal foil and leaf
NA,NA,3497P,Primary products
3329991,NA,34971,Converted unmounted aluminum foil packaging products (not laminated to other mat
3222251,NA,34972,Laminated aluminum foil rolls and sheets for flexible packaging uses
3329993,NA,34973,Converted foil or leaf for nonpackaging applications
NA,NA,3497S,Secondary Products
NA,NA,3497SS,Secondary Products
332996,3498,3498,Fabricated pipe and fabricated pipe fittings
332996P,NA,3498P,Primary products
3329967,NA,34987,Fabricated pipe and fabricated pipe fittings
332996713,NA,3498713,"Iron and steel pipe, tube, and fittings"
332996715,NA,3498715,"Nonferrous pipe, tube, and fittings"
332996SM,NA,3498SM,Secondary products and miscellaneous receipts
332996M,NA,3498M,Miscellaneous receipts
332996S,NA,3498S,Secondary products
NA,NA,3498SS,Secondary products
NA,3499,3499,"Fabricated metal products, nec"
NA,NA,3499P,Primary products
NA,NA,34991,Safes and vaults
NA,NA,34992,Collapsible tubes
NA,NA,34993,Metal strapping
332999A,NA,34995,Metal ladders
3321170,NA,34996,"Powder metallurgy parts, exc. bearings, gears, tools and all cement carbide part"
332999G,NA,34998,All other fabricated metal products
NA,NA,3499M,Miscellaneous receipts
NA,NA,3499Z89,Resales
NA,NA,3499S,Secondary products
NA,NA,3499SS,Secondary products
333611,3511,3511,Turbines and turbine generator sets
333611P,NA,3511P,Primary products
NA,NA,35111,"Steam, gas, hydraulic, solar & wind powered turbine generator sets, turbine generators,& parts"
NA,NA,3511121,Steam turbine generator sets
NA,NA,3511131,Gas turbine generator sets
NA,NA,3511141,"Hydraulic, solar and wind powered turbine generator sets"
NA,NA,3511151,"Complete generators designed for turbine drive, and parts for turbine generator sets"
NA,NA,35112,"Steam, gas, hydraulic & other turbines, nonlocomotive steam engines & parts"
NA,NA,351121,"Steam turbines, steam engines and parts"
NA,NA,3511211,"Steam turbines, including steam engines"
NA,NA,3511212,Parts and accessories for steam engines & steam turbines
NA,NA,351123,"Gas turbines, except aircraft, and parts and accessories"
NA,NA,3511235,"Parts and accessories for gas turbines, except aircraft"
NA,NA,351126,"Hydraulic and other turbines, parts and accessories"
NA,NA,3511261,Hydraulic and other turbines
333611SM,NA,3511SM,Secondary products and miscellaneous receipts
333611M,NA,3511M,Miscellaneous receipts
333611S,NA,3511S,Secondary products
333618,3519,3519,"Internal combustion engines, nec"
333618P,NA,3519P,Primary products
3336181,NA,3519A,"Gasoline engines, except automotive"
3336183,NA,35193,"Diesel, semidiesel and dual fuel engines (except automotive)"
3336185,NA,35194,"Diesel, semidiesel and dual fuel engines (automotive)"
3336187,NA,35195,Outboard engines
3336189,NA,35196,"Gas engines, except turbines"
333618F,NA,35199,Parts and accessories
333618SM,NA,3519SM,Secondary products and miscellaneous receipts
333618M,NA,3519M,Miscellaneous receipts
333618S,NA,3519S,Secondary products
333111,3523,3523,Farm machinery and equipment
333111P,NA,3523P,Primary products
333111J,NA,3523A,"Commercial turf and grounds care equipment, including parts and attachments"
333111E,NA,3523C,"Plows, listers, harrows, rollers, pulverizers, cultivators, weeders, attachments"
3331111,NA,35231,"Wheel tractors and attachments, except: contractors' type, lawn and garden, and motor tillers"
3331113,NA,35232,"Farm dairy machines, sprayers & dusters, farm elevators & attachments"
3331117,NA,35233,"Planting, seeding, and fertilizing machinery and attachments"
3331119,NA,35235,Harvesting machinery (except hay and straw) and attachments
333111A,NA,35236,Haying machinery and attachments
333111G,NA,35238,"Farm machinery and equipment, nec, excluding parts"
333111C,NA,35239,"Parts for farm machinery & equip., excl.comm. turf & grounds care equip"
333111SM,NA,3523SM,Secondary products and miscellaneous receipts
333111M,NA,3523M,Miscellaneous receipts
333111S,NA,3523S,Secondary products
NA,NA,3523SSS,Other secondary products
333112,3524,3524,Lawn and garden equipment
333112P,NA,3524P,Primary products
3331121,NA,35241,"Consumer nonriding lawn, garden, and snow equipment"
3331123,NA,35244,"Consumer riding lawn, garden, and snow equipment"
3331127,NA,35246,"Parts and attachments for consumer lawn, garden, and snow equipment"
333112SM,NA,3524SM,Secondary products and miscellaneous receipts
333112M,NA,3524M,Miscellaneous receipts
333112S,NA,3524S,Secondary products
333120,3531,3531,Construction machinery
333120P,NA,3531P,Primary products
NA,NA,3531A,"Wheel tractors and log skidders, excl parts and attach"
NA,NA,3531B,"Tracklaying tractors, excl. parts and attach"
33312014,NA,3531C,"Tractor shovel loaders, excl. parts and attach"
33312017,NA,3531D,"Attachments for tractors and shovel loaders, excl. parts and winches"
33312011,NA,3531E,"Power cranes, excavators, draglines, and shovels, excl. parts"
33312012,NA,3531F,"Mixers, pavers, and related equipment, excl. parts"
NA,NA,3531G,"Scrapers, graders, rollers, and off-highway equipment, excl. parts"
NA,NA,3531J,"Other construction machinery, excl. parts"
33392371,NA,3531J01,"Winches and work platforms, excluding parts"
3331209,NA,3531K,Parts
33392374,NA,3531K01,Parts for winches and work platforms
333120SM,NA,3531SM,Secondary products and miscellaneous receipts
333120M,NA,3531M,Miscellaneous receipts
333120S,NA,3531S,Secondary products
333131,3532,3532,Mining machinery and equipment
333131P,NA,3532P,Primary products
3331311,NA,35325,Underground mining machinery
NA,NA,3532562,"Loading mining machines, incl. gathering arm type, loader-hauler-dumpers, shovels, scoo"
NA,NA,3532564,"Continuous mining machines, coal and other types (borer, ripper, auger, drum, road-heading)"
NA,NA,3532566,"Face-haulage vehicles, rubber tired, self-propelled, includes coal and other types"
NA,NA,3532579,"Other underground mining machinery, incl cutting machines, support vehicles, exc parts"
3331313,NA,35326,"Mineral processing and beneficiation machinery, excluding parts"
NA,NA,3532656,"Classifiers (sizing, washing, and dewatering), excluding cyclones"
NA,NA,3532671,"Other mineral processing & beneficiation machinery, incl. jigs, cyclones, flotation machines"
3331315,NA,35327,"Crushing, pulverizing, and screening machinery"
NA,NA,3532727,"Crushers, stationary types, including skid-mounted (gyratory, impact, jaw, and roll)"
NA,NA,3532755,"Screens (vibrating, stationary), including trommel types"
3331317,NA,35328,"Drills and other mining machinery, except parts"
NA,NA,3532825,"Rock and coal drills, all types"
NA,NA,3532898,"All other mining machinery and equipment, including impact breakers"
3331319,NA,35329,Parts and attachments for mining machinery and equipment
NA,NA,3532975,"Parts and attachments for mining machinery sold separately, excluding drill bits"
NA,NA,353297511,Parts for face-haulage and support vehicles
NA,NA,353297522,"Parts for mineral processing, beneficiation, crushing, pulverizing, & screening machinery"
NA,NA,353297533,Parts for all other mining machinery and equipment
NA,NA,3532989,Percussion rock drill bits
NA,NA,3532991,All other mining drill bits
333131SM,NA,3532SM,Secondary products and miscellaneous receipts
333131M,NA,3532M,Miscellaneous receipts
NA,NA,3532Z89,Resales
333131S,NA,3532S,Secondary products
333120S,NA,3531S,Construction machinery
NA,NA,3532SSS,Other secondary products
333132,3533,3533,Oil field and gas field machinery and equipment
333132P,NA,3533P,Primary products
3331321,NA,35331,Rotary oil field and gas field drilling machinery and parts
33313211,NA,353311,Rotary drilling surface equipment
333132112,NA,3533112,Drawworks and accessories
333132115,NA,3533115,"Elevators, spiders, slips, hooks, links, connectors"
333132117,NA,3533117,Well control equipment (blow-out preventers)
333132121,NA,3533121,"Other rotary dril. surface equip. ,incl Kelly joints,rotary tables,crown/trav.bl"
33313214,NA,353314,Rotary drilling subsurface equipment
333132141,NA,3533141,Bits
33313214101,NA,353314101,Tungsten-carbide insert bits
33313214102,NA,353314102,Steel-toothed bits
33313214103,NA,353314103,"Other bits, including diamond bits"
333132144,NA,3533144,"Tool joints, subs, and connectors"
333132145,NA,3533145,Drill collars
333132146,NA,3533146,Reamers and stabilizers
333132149,NA,3533149,"Other subsurface dril. equip., incl fishing tools, subsea risers, coring equip"
33313216,NA,353316,"Parts for rotary drilling equipment, sold separately, except for drilling rigs"
3331322,NA,35332,Other oil and gas field drilling machinery and equipment and parts
333132253,NA,3533253,"Cementing, floating, guiding, and shoe equipment"
333132261,NA,3533261,"Parts for other oil and gas field drilling equipment, sold separately"
333132296,NA,3533296,"Other oil and gas field drilling equipment, incl. cable tool drilling machinery"
3331323,NA,35333,Oil field and gas field production machinery and equipment
33313231,NA,353331,"Surface, subsurface, and subsea production well equipment"
333132311,NA,3533311,Christmas tree assemblies
333132313,NA,3533313,Casing and tubing heads and supports
333132317,NA,3533317,"Chokes, manifolds, and accessories"
333132319,NA,3533319,"Rodless oil lifting machinery and equipment, except pumps"
33313235,NA,353335,Rod lifting machinery and equipment (surface and subsurface)
333132354,NA,3533354,Pumping units and other surface rod lifting equipment
333132357,NA,3533357,"Sucker rods (subsurface rod lifting equipment), except pumps"
333132362,NA,3533362,Permanent packers and accessories
333132363,NA,3533363,Retrievable packers and accessories
333132365,NA,3533365,"Screens, tubing, and anchor catchers"
333132371,NA,3533371,"Separating, metering, and treating equipment for oil and gas (located on well site)"
333132382,NA,3533382,"Parts for oil and gas field production machinery and tools, sold separately"
333132398,NA,3533398,Other oil field and gas field production machinery and tools
3331325,NA,35335,Drilling rigs
333132522,NA,3533522,Rotary wheel-mounted drilling and well-servicing rigs
333132534,NA,3533534,Rotary blast-hole drilling rigs
333132546,NA,3533546,Construction drills
333132558,NA,3533558,"Other portable drilling rigs, incl workover, cable tool, reverse circulation"
333132578,NA,3533578,Parts for portable drilling rigs used on the surface (above ground)
3331329,NA,35339,Oil field and gas field derricks and well surveying machinery
333132921,NA,3533921,"Derricks, oil and gas field, substructures, and accessories (regular & portable)"
333132931,NA,3533931,Well surveying machinery and equipment
333132SM,NA,3533SM,Secondary products and miscellaneous receipts
333132M,NA,3533M,Miscellaneous receipts
NA,NA,3533X98,Other miscellaneous receipts
NA,NA,3533Z89,Resales
333132S,NA,3533S,Secondary products
332911S,NA,3491S,Industrial valves
NA,NA,3533SSS,Other secondary products
333911S,NA,3561S,Pumps and pumping equipment
333921,3534,3534,Elevators and moving stairways
333921P,NA,3534P,Primary products
3339211,NA,35341,Elevators and moving stairways
NA,NA,3534105,"Geared electric passenger elevators, except residence lifts"
NA,NA,3534107,"Gearless electric passenger elevators, except residence lifts"
NA,NA,3534112,Hydraulic passenger elevators
NA,NA,3534114,Freight elevators
NA,NA,353411413,Electric freight elevators
NA,NA,353411415,Hydraulic freight elevators
NA,NA,3534131,Automobile lifts
NA,NA,3534151,"Moving stairways, escalators, and moving walkways"
NA,NA,3534196,"Other non farm elev., incl. sidewalk elev., dumbwaiters, man & resid. lifts"
3339213,NA,35343,Parts and attachments for elevators and moving stairways
NA,NA,3534301,Parts and attachments for elevators and moving stairways
333921SM,NA,3534SM,Secondary products and miscellaneous receipts
333921M,NA,3534M,Miscellaneous receipts
NA,NA,3534XY9,Contract work and other miscellaneous receipts
333921S,NA,3534S,Secondary products
333922,3535,3535,Conveyors and conveying equipment
333922P,NA,3535P,Primary products
3339223,NA,35353,"Unit handling conveyors and conveying systems, except hoists and farm elevators"
333922311,NA,3535311,Gravity conveyors (skate wheel and roller)
333922312,NA,3535312,Trolley conveyors (overhead systems)
333922314,NA,3535314,Powered conveyors (belt and roller)
333922319,NA,3535319,"All other unit handling conveyors & conveying syst., incl. pneum. tube conveyors"
3339224,NA,35354,"Parts and accessories for unit handling conveyors & conveying sytems, sold sep"
3339225,NA,35355,"Bulk material handling conveyors & conveying syst., exc. hoists & farm elevators"
333922511,NA,3535511,Conveyors and elevators
333922514,NA,3535514,"All other bulk handling conveyors and conveying syst. incl. loading, unloading"
3339226,NA,35356,Parts and accessories for bulk material handling conveyors and conveying systems
333922SM,NA,3535SM,Secondary products and miscellaneous receipts
333922M,NA,3535M,Miscellaneous receipts
333922S,NA,3535S,Secondary products
NA,NA,3535SS,Secondary products
NA,3536,3536,"Overhead traveling cranes, hoists, and monorail systems"
NA,NA,3536P,Primary products
3339231,NA,35363,Hoists
33392311,NA,3536340,Hoists
33392312,NA,3536345,Parts and attachments for hoists (sold separately)
3339233,NA,35364,Overhead traveling cranes and monorail systems
33392331,NA,3536420,"Overhead traveling cranes and monorail systems, exc. const. power cranes"
33392333,NA,3536460,Parts and attachments for cranes and monorail systems (sold separately)
NA,NA,3536M,Miscellaneous receipts
NA,NA,3536Z89,Resales
NA,NA,3536S,Secondary products
NA,NA,3536SS,Secondary products
333924,3537,3537,Industrial trucks and tractors
333924P,NA,3537P,Primary products
3339241,NA,35371,"Industrial trucks and tractors, motorized and hand powered"
333924101,NA,3537101,"Work trucks w/ lifting & handling equip, riding, electric, self-propelled"
333924102,NA,3537102,"Work trucks w/ lifting & handling equip, non-riding electric or any non-electric"
333924103,NA,3537103,"Work trucks, not fitted with lifting and handling equipment, elec. or non elec"
333924104,NA,3537104,Bulk powered material moving equipment
3339243,NA,35373,Parts and attachments for industrial work trucks
333924SM,NA,3537SM,Secondary products and miscellaneous receipts
333924M,NA,3537M,Miscellaneous receipts
NA,NA,3537XY9,Contract work and other miscellaneous receipts
NA,NA,3537Z89,Resales
333924S,NA,3537S,Secondary products
333512,3541,3541,"Machine tools, metal cutting types"
333512P,NA,3541P,Primary products
NA,NA,3541A,Boring and drilling machines
3335127,NA,3541B,Machining centers
3335128,NA,3541C,Station type machines
3335129,NA,3541D,Other metal cutting machine tools
NA,NA,35413,Gear cutting machines
3335122,NA,35414,"Grinding, polishing, buffing, honing, and lapping machines"
3335123,NA,35415,"Turning machines (lathes), all types"
3335124,NA,35416,Milling machines
3335126,NA,35419,"Parts for metal cutting machine tools, sold separately, & rebuilt machine tools"
333512SM,NA,3541SM,Secondary products and miscellaneous receipts
333512M,NA,3541M,Miscellaneous receipts
NA,NA,3541MM,Miscellaneous receipts
333512S,NA,3541S,Secondary products
NA,NA,3541SS,Secondary products
333513,3542,3542,Metal forming machine tools
333513P,NA,3542P,Primary products
3335131,NA,35421,"Punching, shearing, bending, and forming machines"
3335132,NA,35422,"Presses, except forging"
3335133,NA,35423,Other metal forming machine tools and forging machines
3335134,NA,35424,Rebuilt metal forming machine tools and parts for metal forming machine tools
333513SM,NA,3542SM,Secondary products and miscellaneous receipts
333513M,NA,3542M,Miscellaneous receipts
333513S,NA,3542S,Secondary products
332997,3543,3543,Industrial patterns
332997P,NA,3543P,Primary products
3329971,NA,35431,"Industrial patterns, except shoe patterns"
332997115,NA,3543115,Foundry patterns
332997198,NA,3543198,"All other industrial patterns, except shoe patterns"
332997SM,NA,3543SM,Secondary products and miscellaneous receipts
332997M,NA,3543M,Miscellaneous receipts
332997S,NA,3543S,Secondary products
NA,NA,3543SS,Secondary products
NA,3544,3544,"Special tools, dies, jigs, fixtures and industrial molds"
NA,NA,3544P,Primary products
333514P,NA,35443,"Special tools, dies, jigs, and fixtures"
33351411,NA,354431,"Jigs and fixtures, including parts"
33351413,NA,354432,Metalworking dies and die sets
NA,NA,3544321,Stamping dies
NA,NA,3544322,All other metalworking dies and die sets
33351417,NA,354433,"Standard punches, industrial prototypes, die parts & other special tooling, dies"
3335111,NA,35445,Industrial molds
NA,NA,354451,Metal injection-type molds for plastics
NA,NA,354452,Other molds
NA,NA,3544M,Miscellaneous receipts
NA,NA,3544XY9,Contract work and other miscellaneous receipts
NA,NA,3544Z89,Resales
NA,NA,3544S,Secondary products
NA,NA,3544SS,Secondary products
333515,3545,3545,Machine tool accessories
333515P,NA,3545P,Primary products
3335151,NA,35451,Small cutting tools for machine tools and metalworking machinery
NA,NA,354512,"Twist drills, gun drills, combined drills, countersinks, and counterbores"
33351512,NA,3545123,Carbon steel and high-speed steel shank twist drills
33351513,NA,3545124,"Other twist drills, gun drills, countersinks, and counterbores"
33351514,NA,354515,End mills and milling cutters
33351515,NA,354517,Threading tools
33351516,NA,354518,"Blanks, tips, and inserts"
33351517,NA,3545199,"Other cutting tools, including broaches, reamers, hobs, and rotary burrs"
3322129,NA,35452,"Precision measuring tools (inspection, quality control, and tool room)"
3335153,NA,35453,Other attachments and accessories for machine tools and metalworking machinery
33351531,NA,354531,Tool holders
33351532,NA,354538,Work holding devices and other attachments and accessories
333515SM,NA,3545SM,Secondary products and miscellaneous receipts
333515M,NA,3545M,Miscellaneous receipts
NA,NA,3545XY9,Contract work and other miscellaneous receipts
NA,NA,3545Z89,Resales
333515S,NA,3545S,Secondary products
333991,3546,3546,Power driven hand tools
333991P,NA,3546P,Primary products
3339911,NA,35461,"Power driven hand tools, electric and battery powered"
333991112,NA,3546112,Circular saws: armature mounted primarily on sleeve bearings
333991122,NA,3546122,Screwdrivers and nutrunners
333991124,NA,3546124,"Hammers, percussion and rotary"
333991125,NA,3546125,Impact wrenches
333991133,NA,3546133,Planers and routers
333991135,NA,3546135,"Other electric powered hand tools; incl shears and nibblers, electric chain saws, hammer drill"
333991136,NA,3546136,"Parts, attachments and accessories for electric-powered hand tools (sold separately)"
333991181,NA,3546181,Drills: armature mounted primarily on sleeve bearings
33399118101,NA,354618101,1/4 inch chuck size and under
33399118103,NA,354618103,Over 1/4 inch chuck size to under 1/2 inch
33399118104,NA,354618104,1/2 inch chuck and over
333991182,NA,3546182,Drills: armature mounted primarily on other than sleeve bearings
33399118205,NA,354618205,1/4 inch chuck size and under
33399118207,NA,354618207,Over 1/4 inch chuck size to under 1/2 inch
33399118209,NA,354618209,1/2 inch chuck and over
333991183,NA,3546183,"Grinders, polishers, and circular sanders except bench grinders"
33399118326,NA,354618326,"Right angle grinders, polishers, and circular sanders"
33399118329,NA,354618329,"All other grinders and polishers, including die grinders (exclude bench)"
333991184,NA,3546184,"Sanders, except circular"
33399118433,NA,354618433,Belt
33399118434,NA,354618434,"Oscillating, reciprocating and vibrating"
333991185,NA,3546185,Circular saws: armature mounted primarily on other than sleeve bearings
33399118515,NA,354618515,7 inch blade and under
33399118516,NA,354618516,Between 7 inch and 8 inch blade
33399118517,NA,354618517,8 inch blade or over
333991186,NA,3546186,"Saws - jig, saber, reciprocating"
33399118618,NA,354618618,Armature mounted primarily on ball bearings
33399118619,NA,354618619,Armature mounted primarily on other than ball bearings
3339912,NA,35462,"Power driven hand tools, pneumatic, hydraulic and powder actuated"
333991237,NA,3546237,Percussion tools - pneumatic
333991238,NA,3546238,"Drills, screwdrivers, nutrunners-pneumatic"
333991241,NA,3546241,Impact wrenches - pneumatic
333991242,NA,3546242,"Rotary grinders, polishers, and sanders"
333991244,NA,3546244,"Other grinders, polishers, and sanders"
333991248,NA,3546248,Other pneumatic powered hand tools
333991253,NA,3546253,Powder actuated hand tools
333991255,NA,3546255,"Parts, attachments, and accessories for pneumatic handtools"
333991271,NA,3546271,"Hydraulic chain saws, including pole"
333991272,NA,3546272,Other hydraulic powered hand tools
333991279,NA,3546279,"Parts, attachments for powder actuated and hydraulic handtools"
3339913,NA,35463,"Power driven hand tools, engine (internal combustion) driven"
333991301,NA,3546301,Chain saws
333991309,NA,3546309,"Other, including cut-off saws and drills"
333991312,NA,3546312,Parts and attachments for engine driven chain saws
333991314,NA,3546314,Parts and attachments for engine driven other than chain saws
333991SM,NA,3546SM,Secondary products and miscellaneous receipts
333991M,NA,3546M,Miscellaneous receipts
NA,NA,3546Z89,Resales
333991S,NA,3546S,Secondary products
333516,3547,3547,Rolling mill machinery
333516P,NA,3547P,Primary products
3335161,NA,35471,"Hot rolling mill machinery, except tube rolling"
NA,NA,3547118,"Other hot rolling mill machinery and equipment, including parts"
3335162,NA,35472,Cold rolling mill machinery
NA,NA,3547228,"Other cold rolling mill machinery and equipment, including parts"
3335163,NA,35473,"Rolling mill machinery, nec, including tube mill machinery"
NA,NA,3547356,"Other rolling mill machinery and equipment, including parts"
333516SM,NA,3547SM,Secondary products and miscellaneous receipts
333516M,NA,3547M,Miscellaneous receipts
333516S,NA,3547S,Secondary products
NA,NA,3547SS,Secondary products
333992,3548,3548,Gas and electric welding and soldering equipment
333992P,NA,3548P,Primary products
3339921,NA,35481,"Arc welding machines, comp., & acces., exc. electrodes (excl. stud welding eq.)"
3339923,NA,35482,"Arc welding electrodes, metal"
3339927,NA,35483,"Resistance welders, components, accessories, and electrodes"
3339929,NA,35484,"Gas welding and cutting equipment, parts, attachments, and accessories"
333992A,NA,35485,"Other welding and soldering equipment and acc. (exc. arc, resistance and gas)"
333992SM,NA,3548SM,Secondary products and miscellaneous receipts
333992M,NA,3548M,Miscellaneous receipts
NA,NA,3548MM,Miscellaneous receipts
333992S,NA,3548S,Secondary products
333518,3549,3549,"Metalworking machinery, not elsewhere classified"
333518P,NA,3549P,Primary products
3335182,NA,35492,Assembly machines
333518213,NA,3549213,Transfer type assembly machines
333518219,NA,3549219,Special purpose and all other types
3335185,NA,35495,Other metalworking machinery
333518511,NA,3549511,Machines for weaving and wire fabricating and wire drawing machines and draw benches
333518541,NA,3549541,Coil handling equipment (conversion or straightening)
333518598,NA,3549598,All other metalworking machinery nec
333518SM,NA,3549SM,Secondary products and miscellaneous receipts
333518M,NA,3549M,Miscellaneous receipts
NA,NA,3549Z89,Resales
333518S,NA,3549S,Secondary products
NA,NA,3549SS,Secondary products
333292,3552,3552,Textile machinery
333292P,NA,3552P,Primary products
3332921,NA,35521,"Textile machinery, except parts and attachments"
3332921A,NA,35521A,Fabrics machinery
3332921111,NA,35521111,Fabrics machinery
3332921B,NA,35521B,Fiber-to-fabrics textile machinery
333292151,NA,3552151,Winding machinery
333292154,NA,3552154,Other fiber-to-fabrics machinery
3332921C,NA,35521C,Other textile machinery
333292185,NA,3552185,"Bleaching, dyeing, and finishing machinery"
333292187,NA,3552187,"Machinery for drying stocks, yarn, and cloth"
333292199,NA,3552199,Other textile machinery
3332922,NA,35522,Parts and attachments for textile machinery
333292211,NA,3552211,Textile machinery turnings and shapes
333292232,NA,3552232,Parts and attachments for fiber-to-fabrics machinery
333292241,NA,3552241,Parts and attachments for power looms
333292271,NA,3552271,"Parts and attachments for bleaching, dyeing and finishing machinery"
333292299,NA,3552299,"Parts and attachments for other textile machinery, including printing"
333292SM,NA,3552SM,Secondary products and miscellaneous receipts
333292M,NA,3552M,Miscellaneous receipts
NA,NA,3552Z89,Resales
333292S,NA,3552S,Secondary products
333210,3553,3553,Woodworking machinery
333210P,NA,3553P,Primary products
3332101,NA,35531,"Woodworking machinery including parts, excluding home workshop types"
333210112,NA,3553112,Sawmill equipment
333210118,NA,3553118,"Veneer, plywood, particleboard, and hardboard-making equipment"
333210121,NA,3553121,"Assembling, gluing, laminating, and finishing machines"
333210162,NA,3553162,"Sawing machines, except sawmill equipment"
333210173,NA,3553173,"Straight-line machinery, including jointers, moulders, planers, sanders, surfacers, etc"
333210175,NA,3553175,"Boring machinery, carving machinery, dovetailers, mortisers, routers, shapers, and tenoners"
333210197,NA,3553197,"Other woodworking machinery, including lathes, clamping machinery, presses, roll coaters, et"
333210199,NA,3553199,"Parts, attachments, and accessories, excluding saw blades and cutting tools"
3332102,NA,35532,"Woodworking machinery designed primarily for home workshops, incl. parts"
333210221,NA,3553221,"Saws, including circular"
333210298,NA,3553298,"Other woodworking machinery for home workshops, incl. lathes, drilling machines, etc"
333210299,NA,3553299,"Parts, attachments, and accessories for home workshop machinery"
333210SM,NA,3553SM,Secondary products and miscellaneous receipts
333210M,NA,3553M,Miscellaneous receipts
NA,NA,3553Z89,Resales
333210S,NA,3553S,Secondary products
NA,NA,3553SS,Secondary products
333291,3554,3554,Paper industries machinery
333291P,NA,3554P,Primary products
3332911,NA,35541,Wood preparation equipment
NA,NA,3554111,"Wood preparation equip., incl. debarkers, chippers, knotters and splitters"
NA,NA,3554181,Parts and attachments for wood preparation equipment (sold separately)
NA,NA,35542,Pulp mill machinery
NA,NA,3554225,"Deckers, thickeners, bleaching equipment, pulp screens, washers, and save-alls"
NA,NA,3554226,"Other pulp mill mach., incl. grinders, digesters, pulp refiners and processors"
NA,NA,3554281,Parts and attachments for pulp mill machinery (sold separately)
3332913,NA,35543,Paper mill machinery
NA,NA,3554331,"Beaters, jordans, disc refiners, and other stock preparation machinery"
NA,NA,3554342,Paper machines
NA,NA,355434247,Paper making machines and coating machines
NA,NA,355434249,"Finishing machinery, including calendering, and other paper mill machinery"
NA,NA,3554381,Parts and attachments for paper mill machinery (sold separately)
NA,NA,35544,Paper and paperboard converting equipment
NA,NA,3554451,"Bag making machines, including sack machines and envelope making machines"
NA,NA,3554453,"Corrugated box making machines, including corrugators"
NA,NA,3554454,"Box, carton and shipping container making machines, including molding machines"
NA,NA,3554459,Other paper and paperboard equipment including coating and laminating machinery
NA,NA,3554481,Parts and attachments for paper and paperboard converting mach. (sold separately)
333291SM,NA,3554SM,Secondary products and miscellaneous receipts
333291M,NA,3554M,Miscellaneous receipts
NA,NA,3554XY9,Contract work and other miscellaneous receipts
NA,NA,3554Z89,Resales
333291S,NA,3554S,Secondary products
NA,NA,3554SSS,Secondary products
333293,3555,3555,Printing trades machinery
333293P,NA,3555P,Primary products
3332931,NA,35551,"Printing presses, offset lithographic"
3332932,NA,35552,"Printing presses, other than lithographic"
3332933,NA,35553,"Typesetting machinery and equipment, excluding justifying typewriters"
3332936,NA,35556,Binding machinery and equipment
3332937,NA,35557,"Printing trades machinery, nec"
333293779,NA,3555779,"Other printing machinery and equipment, incl. pre-press preparation equipment"
333293791,NA,3555791,"Parts, attachments, and accessories for printing trades machinery"
333293SM,NA,3555SM,Secondary products and miscellaneous receipts
333293M,NA,3555M,Miscellaneous receipts
NA,NA,3555MM,Miscellaneous receipts
333293S,NA,3555S,Secondary products
NA,NA,3555SS,Secondary products
333294,3556,3556,Food products machinery
333294P,NA,3556P,Primary products
3332941,NA,35561,Dairy and milk products plant machinery
NA,NA,3556144,Pasteurizers and homogenizers
NA,NA,3556173,Ice cream freezers
NA,NA,3556198,"Other dairy and milk machinery, including separators and sterilizing equipment"
NA,NA,3556199,Parts and attachments for dairy and milk products
3332943,NA,35562,Commercial food products machinery
NA,NA,35562A,"Commercial food products machinery, except bakery equipment"
NA,NA,3556212,Slicers
NA,NA,3556221,"Choppers, grinders, cutters, dicers, and similar machines"
NA,NA,3556249,"Other commercial food preparation machinery, including tenderizers (power driven)"
NA,NA,35562B,Bakery machinery and equipment
NA,NA,3556261,Dough mixers
NA,NA,3556273,Bake ovens
NA,NA,3556292,Other bakery machinery and equipment
NA,NA,3556251,Parts and attachments for commercial food preparation machinery
3332945,NA,35563,Industrial food products machinery
NA,NA,3556313,Meat and poultry processing machinery
NA,NA,3556323,Preparation machinery (fruit and vegetable canning)
NA,NA,3556339,"Flour and grain mill machinery, except packing and packaging machinery"
NA,NA,3556358,"Other industrial food products machinery, including fish and shellfish processing machinery"
NA,NA,3556383,Parts and attachments for industrial food products machinery
NA,NA,3556385,"Machinery for sorting, grading, or cleaning fruits, vegetables, or eggs"
333294SM,NA,3556SM,Secondary products and miscellaneous receipts
333294M,NA,3556M,Miscellaneous receipts
NA,NA,3556Z89,Resales
333294S,NA,3556S,Secondary products
NA,NA,3556SS,Secondary products
NA,3559,3559,"Special industry machinery, nec"
NA,NA,3559P,Primary products
